date,rating,review
2019-08-14,5.0,This review may contain spoilers. I can handle the truth.
2019-08-09,5.0,This review may contain spoilers. I can handle the truth.
2019-09-06,5.0,Our expectations were high but HOLY FUCK
2019-10-26,5.0,a question to people who rate this 4.5: what more do you want literally what more do you want
2019-11-07,4.5,The tent won’t leak. It’s from America.
2019-11-06,5.0,"One detail I noticed this time around is that Min and Mr. Park both react the same way to being asked if they like or love the people that they're romantically involved with– by laughing. And in Mr. Park's case, giving a sarcastic answer that undercuts his saying 'yes'. Min and Mr. Park are both seen as powerful figures deserving of respect, and the way they dismissively respond to an earnest question about whether they truly care for the people… more"
2019-11-01,5.0,This review may contain spoilers. I can handle the truth.
2019-10-15,5.0,This review may contain spoilers. I can handle the truth.
2020-01-17,5.0,This review may contain spoilers. I can handle the truth.
2019-07-21,5.0,This review may contain spoilers. I can handle the truth.
2019-08-15,5.0,"Jessica, only child ✌️ from Illinois Chicago, classmate of Kim Jin-mo, he’s your cousin✌️ 🎼 
Easily, without a doubt, the best hook of 2019"
2020-02-10,5.0,"Woh, that kid is going to need a much bigger trauma recovery cake."
2023-01-09,4.5,"""No one can imitate North Korean news anchors like you"" gotta be the rarest compliment ever"
2019-08-27,4.5,parasite is my minimalist architecture porn like yes unplastered grey stone walls mahogany floor and impractical enormous glass panels inject that in me
2020-01-26,5.0,"Watched with a live orchestra and an introduction by Bong. It was one of my favorite experiences at a theatre, obviously."
2020-01-17,5.0,This review may contain spoilers. I can handle the truth.
2019-10-28,5.0,not to sound dramatic but that flood scene changed me
2020-02-10,5.0,"I'M SCREAMING I'M CRYING THIS IS THE BEST SHIT THAT HAS EVER HAPPENED THE FILM THAT TRULY MADE ME A CINEPHILE IS THE FIRST FOREIGN FILM TO EVER WIN BEST PICTURE WE WON bong can now finally go and drink his guts out, bless his heart"
2020-06-06,5.0,"“lemons into lemonade”
anyways, when you guys are eating the rich, which condiment are you choosing? i’m a ketchup girl myself"
2023-03-06,5.0,when your circle small but y'all crazy
2022-10-10,5.0,"They’re rich but still nice
They’re nice because they’re rich 
Peerless, perfection."
2019-10-15,4.5,I hadn't seen a trailer and had no idea what the premise of it even was and BOY OH BOY did I have a wonderful couple of hours. Pure movie joy.
2019-10-11,5.0,"leaving the arclight I heard a girl say “holy shit. can’t wait to read the letterboxd reviews on this,” and I think she’s right."
2020-01-18,4.5,"I've come to make an announcement:
The Academy is a bitch ass motherfucker. They pissed on Song Kang-Ho's chances of getting a Supporting Actor nod. That's right, this bunch of quilly dicks pissed all over a truly nuanced and powerful performance and they said Brad Pitt's dick was ""this big"" and I said ""that's disgusting"".
So I'm making a callout post on my letterboxd dot com: Academy, you got a small dick, its the size of this peach except way… more"
2020-03-13,5.0,This review may contain spoilers. I can handle the truth.
2020-01-19,5.0,"“Dad, today I made a plan.”
It’s absolutely fucking absurd that Song Kang-Ho did not get any Oscar attention for his role in this film. He gives the most expressive, wide-ranging performance of the year. I mean, the entire ensemble is outstanding (I think I’ve already said how terrific Cho Yeo-jeong’s comedic performance is) but Song is the emotional center of this film both in its funniest and it’s most tragic moments. Also, after five viewings (I know) of this… more"
2019-08-11,5.0,"despite what mr. park might think, this movie smells so fucking good"
2020-05-02,5.0,"Unintentionally decided now, in the middle of my Ansel binge, was a good time to rewatch this. Not realizing I also decided to rewatch Parasite in the middle of my Noah Centineo marathon. Just putting that out there as a way of thanking Bong for getting me through these tough times."
2019-06-29,5.0,"Holy fucking shit. I can’t tell if this movie is a masterpiece or if Bong Joon-ho himself is the masterpiece.
The poster for this film quotes David Ehrlich’s Indiewire review that says this solidifies his movies as a genre of their own, and he’s totally right. I couldn’t possibly place this into a solid genre, but every little genre it does dip into, it knocks out of the park. I loved it. I can’t stop thinking about it. I went… more"
2019-05-22,4.5,"Bong Joon-ho, the sui generis South Korean auteur behind unclassifiable modern wonders like “Barking Dogs Never Bite” and “The Host,” has always made films that refuse to fit the narrow parameters of any particular genre. Each of them is built atop a bedrock of comic violence that Bong uses to support the weight of the heavy stories he places on top of it, but simply categorizing “Snowpiercer” as science-fiction or “Memories of Murder” as a mystery would require you to… more"
2019-11-04,5.0,This review may contain spoilers. I can handle the truth.
2019-10-11,5.0,"I saw someone on Twitter doing that annoying thing where they sneer at the idea that a movie that people love really could be as good as they say and then asking for more opinions, hoping to find just one person who says something like ""it was fine"" and then latch onto that one take as the definitive proof that there's some sort of conspiracy (?) to declare a film as great when it's actually ""just fine."" It's a very… more"
2020-02-02,5.0,yup....... this is the best movie that has ever been fucking made
2020-02-16,5.0,"""she always ate enough for two""
BITCH bong joon-ho's mind, he's a GENIUS"
2021-05-12,5.0,Would’ve been even better if I could read
2019-05-21,5.0,"if this doesn’t win the palme d’or i’m burning the palais to the ground

ETA WE FUCKIN DID IT BONG WON THE PALME"
2019-08-17T11:15:50.633Z,4.5,"jessica, only child,
from illinois, chicago.
i'm a classmate of your cousin"
2019-08-17,5.0,You are not ready for this film. I shit you not. Parasite is a tour de force. The hype is true. It is really a masterpiece in its own right.
2019-08-09,4.0,"Masterfully constructed and thoroughly compelling genre piece (effortlessly transitioning between familial drama, heist movie, satirical farce, subterranean horror) about the perverse and mutating symbiotic relationship of increasingly unequal, transactional class relationships, and who can and can't afford to be oblivious about the severe, violent material/psychic toll of capitalist accumulation. (""They say a ghost in the house brings wealth."") I think I ultimately admired this more than I felt it, it's clever and manufactured in a way that feels shiny and… more"
2020-02-01,5.0,i be in the club requesting jessica only child illinois chicago classmate of kim jin-mo he’s your cousin ding dong
2019-10-11,5.0,What the fuck did you think I would give this?
2023-09-16,5.0,"Perhaps the most nuanced and merciless look at economic inequity and wealth corruption ever presented on film. Without question, Parasite is an uncompromising masterpiece that deserves every ounce of praise it receives."
2020-02-10T05:00:12.779Z,4.5,BEST MOTHERFUCKING PICTURE
2020-11-17,5.0,"yes, i am still thinking about the Parasite pizza delivery girl.."
2019-08-08,5.0,"My hands shake as I type these words but people didn't lie when they said this is one of the year's best movies. To me, 2019 is over and Parasite has freakin’ ended it all. You know that feeling when the movie is so good that when it ends, you feel as though a large part of your self has also departed from your body and eventually left behind a void inside you? That's exactly how I felt after watching… more"
2025-02-08,5.0,"And the oscar goes to…
What’s there left to be said about a movie like Parasite. Rightfully celebrated as a true masterpiece, rewatching for the first time in IMAX since release only solidified it as such. 
This extremely fine tuned dance of opportunity and cunning; this commitment of showcasing class disparity in the most engaging way possible. Every moment is so perfectly crafted to keep a viewer wowed and entranced.
How far will this all go you keep asking yourself… more"
2019-10-18,4.5,"“i don’t trust anyone now”
so original on every level and turns sinister so slowly that it was still shocking a second time. one of the best of the year, but you probably already knew that"
2020-06-02,5.0,Yeah I respect capitalism’s rights... capitalism’s rights to shut the fuck up
2019-09-05,5.0,"Best of the Decade. 
I’ve never been more sure of anything."
