rating,date,review
1.0,"Jul 21, 2025","I genuinely have no idea why this movie is so popular. The acting is good, but the storyline and plot are boring. This movie is fuc*ing boring. What is wrong with people?"
5.0,"Jul 21, 2025",Fantastic. This is a great movie.
5.0,"Jul 19, 2025","Parasita te fisga já nos primeiros minutos e não larga até o último frame. Bong Joon-ho mistura comédia e drama com maestria, mostrando a família Kim lutando por cada centavo enquanto cai de cara no universo luxuoso (e cego) da família Park. O contraste social é exibido de forma afiada — ora absurda, ora dolorosamente real — sem cair em moralismo. A narrativa é construída como um relógio suíço: cada detalhe aparentemente trivial no começo volta com força total para amarrar o clímax surpreendente. A sutileza das piadas, aliada à tensão crescente, transforma o filme numa montanha-russa emocional. E, por baixo de tudo, pulsa uma crítica social poderosa, que expõe as fissuras da desigualdade sem soçobrar em discursos óbvios. Com atuações impecáveis, direção cirúrgica e um roteiro que equilibra tons sem titubear, Parasita não é apenas entretenimento — é cinema feito para incomodar, divertir e deixar a gente pensando por muito tempo."
5.0,"Jul 19, 2025",I’m so glad they added that ending cause SPOILER ALERT I would not have been able to stand it if they ended the movie right at that garden scene
5.0,"Jul 18, 2025","Story is brilliantly woven, almost rhythmic like a sharp jazz drum solo. The film reveals that human flaws aren’t born from wealth or poverty, but are magnified by both. A blend of style, substance, and unsettling truth. Fun as hell from start to finish."
5.0,"Jul 18, 2025",Amazing and interesting all the way through.
4.5,"Jul 17, 2025",Great movie with great acting and makes you feel on edge the whole time and is surprisingly tragic
5.0,"Jul 17, 2025","Really great film, I was on the edge of my seat the whole time."
5.0,"Jul 10, 2025","I believe Bong Joon Ho has become a master director. The first film he directed and that I saw was Parasite. I was blown away by his directing, the production, cinematography and acting. A S. Korean friend who also enjoys Parasite told me that the class differences, their style or ability to live is spot on. I have watched this film many times, and will watch it many more times in the future. It is in my personal top 10 foreign film list."
5.0,"Jul 10, 2025","I think about this film quite often,it is that good."
5.0,"Jul 9, 2025",A cinematic masterpiece. It is perhaps the most perfectly-paced film of all-time. The story remains both compelling and elusive throughout. The plot is like a Russian nesting doll unfolding one twist after another. A truly perfect film.
4.5,"Jul 9, 2025","This movie was unexpectedly a masterpiece and also smartly funny and really well executed. I can’t really say anything cause this movie is just straight up a masterpiece and a must watch experience. I recommend you this art, it will blow your mind"
5.0,"Jul 8, 2025",I was on the edge of my seat the entire time. Bong Joon Ho and Song Kang-Ho are AMAZING. One of the greatest movies I've ever seen.
4.5,"Jul 7, 2025",Never does a home play a leading role like the architectural masterpiece in Parasite. A home doesn't make a family; only people can. Mental illness doesn't discriminate between socio-economic classes. This isn't a Disney movie; especially ending.
0.5,"Jul 7, 2025","I am baffled why this movie was given so much attention. I couldn't even get past the first 35 minutes which were very slow going. I had absolutely zero emotional investment in the characters. When I look at audience reviews on this and other platforms, they seem over-the-top to the extent that it makes me wonder who was paid off and how. Nothing against the actors or the direction. It's just that there are so much better films."
4.5,"Jul 6, 2025",A very good film. I enjoyed every minute of it.
0.5,"Jul 5, 2025","This movie has such high ratings, but I tried streaming it twice and abandoned it twice."
5.0,"Jul 4, 2025",Great masterpiece 👌
5.0,"Jul 1, 2025",Great film. The last 25 minutes is astounding! Simply a masterpiece!
4.5,"Jul 1, 2025","The story builds so well that when the chaos finally hits, it feels earned and unforgettable."
5.0,"Jun 30, 2025",One of the best movies ever produced.
5.0,"Jun 29, 2025","One of my favorite movies and I don’t think recency bias will change that. It’s just one of those stories that is super original, contains a lot of metaphors, and keeps you wondering what will happen next. I went in with zero context and loved it. Also saw this in black and white which was cool I guess? Saw it again at home in color and it was even better."
5.0,"Jun 24, 2025",Good movie with great themes of classism. Definitely recommend. This is probably a career peak for the director
5.0,"Jun 21, 2025",Best Foreign movie I have ever seen Bong Joon Ho did it again
5.0,"Jun 20, 2025","A superb film that makes you grateful for what you do have. You find yourself feeling the emotions the characters experience throughout and thinking about your life and where you can relate within the film. It's well written, beautifully acted and extremly thought provoking. Cinematography is excellent as well."
5.0,"Jun 17, 2025","Ok, I was skeptical that a foreign film won Best Movie Oscar? This movie= Weird, but in a super cool way, almost like a David Lynch type film. Ultimately it's a Very Sad movie. I've seen other Korean films and though they usually are ok- they don't compare to American movies, this one, just based on it's originality and story, deserves the 5 stars- I don't give many that. The acting was good and not too hokey which Korean acting can be at times. The dialogue was good, some of it funny, and it's nicely directed and shot. Korea is Now, what America will be in 50 years- poverty and suffering so a few people can have everything they want. I'm gonna ruminate over this today and it's obviously going to stay in my collection. Great Film."
5.0,"Jun 4, 2025",Wish I could give it ten stars!
4.5,"Jun 4, 2025",This movie proves that Bong Joon Ho is a GENIUS!
5.0,"Jun 3, 2025",I ain’t got much to say that hasn’t been said already.
5.0,"Jun 3, 2025",Watched it with my brother and we can't get over how good and gruesome it is in it's nature. A MUST WATCH.
